Epoch,Index,Answer,Output,Error,Fact
1188,20,1,[0.49008947],[0.50991053],Bad Fact
1188,21,1,[0.86509688],[0.13490312],Good Fact
1188,22,0,[0.31915393],[-0.31915393],Bad Fact
1188,23,0,[0.13217577],[-0.13217577],Good Fact
1188,24,1,[0.49683332],[0.50316668],Bad Fact
1188,25,0,[0.16714957],[-0.16714957],Good Fact
1188,26,1,[0.2718525],[0.7281475],Bad Fact
1189,1,0,[0.11974862],[-0.11974862],Good Fact
1189,2,0,[0.19873864],[-0.19873864],Good Fact
1189,3,1,[0.81397139],[0.18602861],Good Fact
1189,4,0,[0.19135722],[-0.19135722],Good Fact
1189,5,1,[0.81330237],[0.18669763],Good Fact
1189,6,1,[0.82996561],[0.17003439],Good Fact
1189,7,0,[0.1967619],[-0.1967619],Good Fact
1189,8,0,[0.05396053],[-0.05396053],Good Fact
1189,9,0,[0.04267727],[-0.04267727],Good Fact
1189,10,1,[0.94635251],[0.05364749],Good Fact
1189,11,1,[0.49654982],[0.50345018],Bad Fact
1189,12,0,[0.03882715],[-0.03882715],Good Fact
1189,13,1,[0.83568788],[0.16431212],Good Fact
1189,14,0,[0.19847853],[-0.19847853],Good Fact
1189,15,0,[0.197574],[-0.197574],Good Fact
1189,16,1,[0.86380516],[0.13619484],Good Fact
1189,17,0,[0.35764926],[-0.35764926],Bad Fact
1189,18,1,[0.80420032],[0.19579968],Good Fact
1189,19,1,[0.80773699],[0.19226301],Good Fact
1189,20,1,[0.49011105],[0.50988895],Bad Fact
1189,21,1,[0.86354869],[0.13645131],Good Fact
1189,22,0,[0.31537621],[-0.31537621],Bad Fact
1189,23,0,[0.13176472],[-0.13176472],Good Fact
1189,24,1,[0.49685181],[0.50314819],Bad Fact
1189,25,0,[0.16735212],[-0.16735212],Good Fact
1189,26,1,[0.2690975],[0.7309025],Bad Fact
1190,1,0,[0.11902217],[-0.11902217],Good Fact
1190,2,0,[0.19960687],[-0.19960687],Good Fact
1190,3,1,[0.81202351],[0.18797649],Good Fact
1190,4,0,[0.1913939],[-0.1913939],Good Fact
1190,5,1,[0.81120385],[0.18879615],Good Fact
1190,6,1,[0.82832283],[0.17167717],Good Fact
1190,7,0,[0.19683046],[-0.19683046],Good Fact
1190,8,0,[0.05375232],[-0.05375232],Good Fact
1190,9,0,[0.04249753],[-0.04249753],Good Fact
1190,10,1,[0.94583616],[0.05416384],Good Fact
1190,11,1,[0.49657009],[0.50342991],Bad Fact
1190,12,0,[0.03862254],[-0.03862254],Good Fact
1190,13,1,[0.83429158],[0.16570842],Good Fact
1190,14,0,[0.19829856],[-0.19829856],Good Fact
1190,15,0,[0.19752085],[-0.19752085],Good Fact
1190,16,1,[0.86234977],[0.13765023],Good Fact
1190,17,0,[0.35421033],[-0.35421033],Bad Fact
1190,18,1,[0.80235217],[0.19764783],Good Fact
1190,19,1,[0.80590459],[0.19409541],Good Fact
1190,20,1,[0.49013729],[0.50986271],Bad Fact
1190,21,1,[0.86247723],[0.13752277],Good Fact
1190,22,0,[0.31278537],[-0.31278537],Bad Fact
1190,23,0,[0.13157561],[-0.13157561],Good Fact
1190,24,1,[0.49687083],[0.50312917],Bad Fact
1190,25,0,[0.16766914],[-0.16766914],Good Fact
1190,26,1,[0.26721397],[0.73278603],Bad Fact
1191,1,0,[0.11854246],[-0.11854246],Good Fact
1191,2,0,[0.20047118],[-0.20047118],Bad Fact
1191,3,1,[0.81064093],[0.18935907],Good Fact
1191,4,0,[0.19153612],[-0.19153612],Good Fact
1191,5,1,[0.80950603],[0.19049397],Good Fact
1191,6,1,[0.82719167],[0.17280833],Good Fact
1191,7,0,[0.19353362],[-0.19353362],Good Fact
1191,8,0,[0.05362303],[-0.05362303],Good Fact
1191,9,0,[0.0423788],[-0.0423788],Good Fact
1191,10,1,[0.94546313],[0.05453687],Good Fact
1191,11,1,[0.49646872],[0.50353128],Bad Fact
1191,12,0,[0.03790922],[-0.03790922],Good Fact
1191,13,1,[0.83333847],[0.16666153],Good Fact
1191,14,0,[0.19828106],[-0.19828106],Good Fact
1191,15,0,[0.19760628],[-0.19760628],Good Fact
1191,16,1,[0.86079305],[0.13920695],Good Fact
1191,17,0,[0.3518443],[-0.3518443],Bad Fact
1191,18,1,[0.80096349],[0.19903651],Good Fact
1191,19,1,[0.80452695],[0.19547305],Good Fact
1191,20,1,[0.49004675],[0.50995325],Bad Fact
1191,21,1,[0.86127172],[0.13872828],Good Fact
1191,22,0,[0.31099483],[-0.31099483],Bad Fact
1191,23,0,[0.13153154],[-0.13153154],Good Fact
1191,24,1,[0.49678394],[0.50321606],Bad Fact
1191,25,0,[0.16512352],[-0.16512352],Good Fact
1191,26,1,[0.26591956],[0.73408044],Bad Fact
1192,1,0,[0.11761958],[-0.11761958],Good Fact
1192,2,0,[0.19441648],[-0.19441648],Good Fact
1192,3,1,[0.80965428],[0.19034572],Good Fact
1192,4,0,[0.19175161],[-0.19175161],Good Fact
1192,5,1,[0.80836104],[0.19163896],Good Fact
1192,6,1,[0.82641872],[0.17358128],Good Fact
1192,7,0,[0.19390717],[-0.19390717],Good Fact
1192,8,0,[0.0535555],[-0.0535555],Good Fact
1192,9,0,[0.04230756],[-0.04230756],Good Fact
1192,10,1,[0.9452059],[0.0547941],Good Fact
1192,11,1,[0.4964919],[0.5035081],Bad Fact
1192,12,0,[0.03785795],[-0.03785795],Good Fact
1192,13,1,[0.83270512],[0.16729488],Good Fact
1192,14,0,[0.19837649],[-0.19837649],Good Fact
1192,15,0,[0.19778798],[-0.19778798],Good Fact
1192,16,1,[0.86005686],[0.13994314],Good Fact
1192,17,0,[0.35021614],[-0.35021614],Bad Fact
1192,18,1,[0.79990601],[0.20009399],Bad Fact
1192,19,1,[0.81308283],[0.18691717],Good Fact
1192,20,1,[0.49012666],[0.50987334],Bad Fact
1192,21,1,[0.86659351],[0.13340649],Good Fact
1192,22,0,[0.3249776],[-0.3249776],Bad Fact
1192,23,0,[0.13338185],[-0.13338185],Good Fact
1192,24,1,[0.49682675],[0.50317325],Bad Fact
1192,25,0,[0.16877173],[-0.16877173],Good Fact
1192,26,1,[0.27605703],[0.72394297],Bad Fact
1193,1,0,[0.12057471],[-0.12057471],Good Fact
1193,2,0,[0.19530505],[-0.19530505],Good Fact
1193,3,1,[0.81573752],[0.18426248],Good Fact
1193,4,0,[0.19378632],[-0.19378632],Good Fact
1193,5,1,[0.81436163],[0.18563837],Good Fact
1193,6,1,[0.83233105],[0.16766895],Good Fact
1193,7,0,[0.19694401],[-0.19694401],Good Fact
1193,8,0,[0.05409174],[-0.05409174],Good Fact
1193,9,0,[0.04327026],[-0.04327026],Good Fact
1193,10,1,[0.94781287],[0.05218713],Good Fact
1193,11,1,[0.49652913],[0.50347087],Bad Fact
1193,12,0,[0.03869037],[-0.03869037],Good Fact
1193,13,1,[0.83988683],[0.16011317],Good Fact
1193,14,0,[0.20108524],[-0.20108524],Bad Fact
1193,15,0,[0.19322385],[-0.19322385],Good Fact
1193,16,1,[0.8601862],[0.1398138],Good Fact
1193,17,0,[0.35851142],[-0.35851142],Bad Fact
1193,18,1,[0.80865196],[0.19134804],Good Fact
1193,19,1,[0.80672749],[0.19327251],Good Fact
1193,20,1,[0.48999519],[0.51000481],Bad Fact
